dimension,indicador,formula,resultado,unidad,meta_referencial,sentido_esperado,estado,periodicidad_sugerida,fuente_simulada,interpretacion
Cobertura,Casos vigentes,Total de usuarios con estado de caso vigente,59.0,casos,50,mayor_mejor,Cumple,Mensual,base_consolidada_mca,Cantidad de casos activos que requieren seguimiento operativo.
Cobertura,% de casos vigentes sobre el total consolidado,Casos vigentes / total de usuarios consolidados * 100,74.68,%,60,mayor_mejor,Cumple,Mensual,base_consolidada_mca,Proporción de usuarios que se encuentran activos dentro del programa.
Seguimiento,Promedio de intervenciones por caso vigente,Total de intervenciones en casos vigentes / total de casos vigentes,3.25,intervenciones,3,mayor_mejor,Cumple,Mensual,intervenciones,Mide intensidad promedio del seguimiento técnico registrado.
Seguimiento,% de casos vigentes con intervención reciente,Casos vigentes sin más de 21 días desde última intervención / casos vigentes * 100,25.42,%,80,mayor_mejor,Crítico,Semanal/Mensual,intervenciones,Evalúa oportunidad del seguimiento técnico reciente.
Seguimiento,% de casos vigentes sin contacto reciente,Casos vigentes con más de 21 días sin contacto / casos vigentes * 100,67.8,%,15,menor_mejor,Crítico,Semanal,usuarios_mca,Identifica casos activos que requieren revisión por falta de contacto reciente.
Plan de Intervención Individual,% de casos vigentes con PII vigente,Casos vigentes con PII vigente / casos vigentes * 100,83.05,%,85,mayor_mejor,En observación,Mensual,planes_intervencion,Mide cobertura de planes vigentes en casos activos.
Plan de Intervención Individual,% de casos con PII vencido o no registrado,Casos con PII vencido o no registrado / total usuarios consolidados * 100,18.99,%,10,menor_mejor,Crítico,Mensual,planes_intervencion,Detecta brechas de actualización o registro del plan de intervención.
Plan de Intervención Individual,Promedio de avance PII en casos vigentes,Promedio del porcentaje de avance PII en casos vigentes,47.71,%,50,mayor_mejor,En observación,Mensual,planes_intervencion,Entrega una aproximación del avance técnico registrado para casos activos.
Asistencia y controles,Tasa de inasistencia a controles/audiencias,Total de inasistencias / total de controles registrados * 100,18.89,%,20,menor_mejor,Cumple,Mensual,controles_audiencias,"Mide la proporción de inasistencias registradas en controles, citaciones o audiencias."
Asistencia y controles,Casos con inasistencias reiteradas,Total de usuarios con dos o más inasistencias registradas,7.0,casos,5,menor_mejor,Crítico,Semanal/Mensual,controles_audiencias,Identifica casos que requieren priorización por reiteración de inasistencias.
Calidad de información,% de registros con datos críticos faltantes,Registros con datos críticos faltantes / total usuarios consolidados * 100,2.53,%,5,menor_mejor,Cumple,Mensual,usuarios_mca / planes_intervencion,Evalúa presencia de campos críticos incompletos para seguimiento y trazabilidad.
Calidad de información,Casos sin profesional responsable,Total de casos sin profesional responsable asignado,1.0,casos,0,menor_mejor,Crítico,Semanal,usuarios_mca,Controla asignación mínima de responsable para seguimiento de casos.
Calidad de información,IDs duplicados detectados,Total de usuarios marcados con id_usuario duplicado,1.0,casos,0,menor_mejor,Crítico,Mensual,usuarios_mca,Permite monitorear duplicidades en la base principal de usuarios.
Permanencia,Promedio de días de permanencia estimada,Promedio de días entre ingreso y fecha de corte o egreso,223.85,días,180,menor_mejor,Crítico,Mensual,usuarios_mca / egresos,Aproxima duración promedio de los casos en seguimiento.
Permanencia,Casos con permanencia prolongada,Total de casos con más de 240 días de permanencia estimada,33.0,casos,10,menor_mejor,Crítico,Mensual,usuarios_mca / egresos,Identifica casos que podrían requerir revisión por extensión del seguimiento.
